Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIJLLQ,P-193306,a1e4J000000CKLMQA4,a0i4J0000023ShTQAU,,11/20/2018,Huawei,,9/10/2020,,9/10/2020,2/1/2019,,7.0 COMPLETED (10GB),BTWD205865
PX71-SG-CKIJLLO,P-193307,a1e4J000000CKLNQA4,a0i4J0000023ShUQAU,NONE,11/20/2018,Nokia Compact,,4/16/2019,,2/3/2022,2/1/2019,,7.0 COMPLETED (10GB),BTWD205864
PX71-SG-CKIIOLP,P-193308,a1e4J000000CKLOQA4,a0i4J0000023ShVQAU,NONE,5/28/2019,Huawei,,5/12/2020,,5/12/2020,2/11/2019,,7.0 COMPLETED (10GB),BTWD206828
PX71-SG-CKIIGOI,P-193309,a1e4J000000CKLPQA4,a0i4J0000023ShWQAU,,9/13/2019,Huawei,,3/26/2020,,10/18/2021,4/16/2019,,7.0 COMPLETED (10GB),BTWD207998
PX71-SG-CKIJNLN,P-193310,a1e4J000000CKLQQA4,a0i4J0000023ShXQAU,,10/28/2018,Huawei,,10/10/2019,,10/10/2019,2/1/2019,,7.0 COMPLETED (10GB),BTWD205753
PX71-SG-CKIJMIM,P-193311,a1e4J000000CKLRQA4,a0i4J0000023ShYQAU,NONE,11/19/2018,Huawei,,4/30/2021,,4/30/2021,4/12/2019,,7.0 COMPLETED (10GB),BTWD205834
PX71-SG-CKIIGOJ,P-193312,a1e4J000000CKLSQA4,a0i4J0000023ShZQAU,,8/7/2019,Huawei,,10/4/2019,,6/10/2022,4/16/2019,,7.0 COMPLETED (10GB),BTWD207579
PX71-SG-CKJJMMN,P-193313,a1e4J000000CKLTQA4,a0i4J0000023ShaQAE,,8/7/2019,Nokia Small,,2/23/2023,,,4/16/2019,,7.0 COMPLETED (10GB),BTWD207581
PX71-SG-CKJLGLM,P-193314,a1e4J000000CKLUQA4,a0i4J0000023ShbQAE,NONE,6/21/2019,Huawei,,4/24/2020,,4/24/2020,4/16/2019,,7.0 COMPLETED (10GB),BTWD207102
PX71-SG-CKIHIPP,P-193285,a1e4J000000CKLVQA4,a0i4J0000023Sh8QAE,NONE,3/18/2020,Huawei,,9/18/2020,,10/14/2021,2/7/2019,,7.0 COMPLETED (10GB),BTWD209095
PX71-SG-CKIIIMK,P-193286,a1e4J000000CKLWQA4,a0i4J0000023Sh9QAE,NONE,8/2/2019,Huawei,,11/5/2019,,4/12/2022,2/11/2019,,7.0 COMPLETED (10GB),BTWD207555
PX71-SG-CKIGJIJ,P-193287,a1e4J000000CKLXQA4,a0i4J0000023ShAQAU,NONE,5/20/2020,Huawei,,10/5/2020,,10/5/2020,9/6/2019,,7.0 COMPLETED (10GB),BTWD209770
PX71-SG-CKIHHOQ,P-193288,a1e4J000000CKLYQA4,a0i4J0000023ShBQAU,NONE,5/18/2020,Huawei,,8/18/2020,,3/27/2021,2/18/2021,,7.0 COMPLETED (10GB),BTWD209651
PX71-SG-CKIGKGL,P-193289,a1e4J000000CKLZQA4,a0i4J0000023ShCQAU,NONE,3/25/2020,Nokia Compact,,8/20/2020,,8/20/2020,2/18/2021,,7.0 COMPLETED (10GB),BTWD209120
PX71-SG-CKIHHON,P-193290,a1e4J000000CKLaQAO,a0i4J0000023ShDQAU,NONE,5/19/2020,Nokia Compact,,11/6/2020,,11/6/2020,2/18/2021,,7.0 COMPLETED (10GB),BTWD209685
,P-193291,a1e4J000000CKLbQAO,a0i4J0000023ShEQAU,,3/25/2020,,,,,,,,,BTWD209124
PX71-SG-CKJJNGP,P-193292,a1e4J000000CKLcQAO,a0i4J0000023ShFQAU,,8/8/2019,Huawei,,9/16/2022,,,2/27/2019,,7.0 COMPLETED (10GB),BTWD207641
PX71-SG-CKIGIMN,P-193293,a1e4J000000CKLdQAO,a0i4J0000023ShGQAU,NONE,,E-Band,,3/11/2021,,,,,7.0 COMPLETED 10GB (E-BAND),
PX71-SG-CKIHIPM,P-193294,a1e4J000000CKLeQAO,a0i4J0000023ShHQAU,NONE,3/30/2020,Huawei,,4/7/2022,,4/7/2022,2/7/2019,,7.0 COMPLETED (10GB),BTWD209146
